time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,A_mag,Gyro_mag,Fx,Fy,Fz,Mx,My,Mz,F_mag,M_mag
7.094048,0.782330555343,4.01902999372,44.8330815988,41.6914889204,1477,286,-0.303600364269,0.370712023739,-0.109722236911,0.0243954625584,5.84276093123e-05,5.84276093123e-05,0.53517578125,0.4846875,4.02712066906,2228,2403,2770,2790,2259,1966,1998,2275,1.53662760641,0.301848105209,14.7834333273,0.538013410348,0.105684895815,5948.0572282,1151.75651135,0.00756124696695,0.0243956024932,0.491568464206,-0.450668089039,0.270400281152,-0.214228126712,-10.2063873383,-11.7987563691,-4.52341992168,0.567548877895,16.243223884
7.095049,0.791150944943,4.02593290732,44.8393133958,41.6977207174,1144,228,-0.327036181862,0.31957933081,-0.148071756608,-0.0164344487994,-3.9360825849e-05,-3.9360825849e-05,0.3837109375,0.53517578125,4.02712066906,2228,2403,2770,2790,2259,1966,1998,2275,1.24180897308,0.237204532337,14.7849138198,0.434789716012,0.0830514946239,4607.0260454,918.183512545,0.00741317521034,0.0164345430691,0.480633808666,-0.45304886232,0.271707594869,-0.212873275418,-10.1657292959,-11.9395668844,-4.52593622685,0.56955537057,16.3211337913
7.09605,0.798820848943,4.03398630652,44.8455451928,41.7039525144,1276,54,-0.345145677274,0.300404570961,-0.199204449538,-0.0573922994046,-0.000137455678007,-0.000137455678007,0.47458984375,0.4644921875,4.04480286738,2194,2385,2737,2724,2272,1957,2001,2293,1.36322730592,0.0578546067725,14.7863363228,0.475214878048,0.0201678544601,5161.16845878,218.419354839,0.00721397076081,0.0573926286126,0.499049954925,-0.455338026185,0.273007603815,-0.211569137629,-10.1253779337,-12.0751634957,-4.52697515727,0.571513228043,16.3959249761
7.097051,0.805340267343,4.03935523932,44.8517769898,41.7101843114,1422,415,-0.370712023739,0.267381373444,-0.236488704799,-0.0983802216052,-0.000235622552223,-0.000235622552223,0.4241015625,0.47458984375,4.03596176822,2194,2385,2737,2724,2272,1957,2001,2293,1.53357028563,0.441304730837,14.7883131727,0.535766745803,0.154173826764,5739.13763441,1674.92413381,0.00697748205601,0.0983807859242,0.51463298661,-0.457533146767,0.274294455805,-0.210315624183,-10.0851224357,-12.2054033563,-4.52642987408,0.573416681526,16.4672442455
7.098052,0.812626676143,4.04510766732,44.8580087868,41.7164161084,1310,371,-0.38669099028,0.292947719909,-0.251402406903,-0.139301144888,-0.000333628962723,-0.000333628962723,0.5048828125,0.55537109375,4.02270011947,2194,2385,2737,2724,2272,1957,2001,2293,1.37147642729,0.382835969514,14.7900692394,0.48071735527,0.134188157452,5269.73715651,1492.42174432,0.0067260796491,0.139301943934,0.546398626243,-0.459632112638,0.275562535315,-0.20911262646,-10.0447572571,-12.3301686534,-4.52421819479,0.575260358779,16.5347741941
7.099053,0.820296580143,4.05162708572,44.8642405838,41.7226479054,1241,268,-0.404800485692,0.320644595246,-0.235423440363,-0.180056428775,-0.000431238663635,-0.000431238663635,0.55537109375,0.51498046875,4.02270011947,2194,2385,2737,2724,2272,1957,2001,2293,1.28059147754,0.279771480022,14.7916311627,0.448861195143,0.0980629366134,4992.17084827,1078.08363202,0.00649065620874,0.180057461598,0.567539061166,-0.461633177004,0.276806566187,-0.207960025042,-10.0040854246,-12.4493668555,-4.52028495415,0.577039372323,16.598235941
7.100054,0.826815998543,4.05814650412,44.8704723808,41.7288797024,1388,264,-0.425040509977,0.356863586071,-0.230097118183,-0.220540066221,-0.000528197766013,-0.000528197766013,0.40390625,0.63615234375,4.03596176822,2194,2385,2737,2724,2272,1957,2001,2293,1.50527240543,0.267998063601,14.7934062065,0.525880623639,0.0936275642286,5601.91493429,1065.49390681,0.00626055909056,0.220541331261,0.600795920409,-0.463534961894,0.27802163982,-0.206857684118,-9.96292063254,-12.562929843,-4.51460066602,0.578749336574,16.6573891395
7.101055,0.835252892943,4.06504941772,44.8767041778,41.7351114994,1110,206,-0.451672120877,0.363255172687,-0.230097118183,-0.260635045423,-0.000624226024309,-0.000624226024309,0.525078125,0.59576171875,4.02712066906,2172,2386,2721,2695,2283,1971,2020,2328,1.15815090728,0.210597944015,14.7947763241,0.405498844823,0.0737358339774,4470.10394265,829.586857826,0.00603046197238,0.260636540453,0.62362385222,-0.465336437982,0.27920318714,-0.205805460115,-9.9210868659,-12.670813009,-4.50715674977,0.580386343426,16.7120294661
7.102056,0.841005320943,4.07118534092,44.8829359748,41.7413432964,1467,306,-0.470846880726,0.387756254716,-0.221575002695,-0.300215126676,-0.000719021091958,-0.000719021091958,0.4846875,0.51498046875,4.04480286738,2172,2386,2721,2695,2283,1971,2020,2328,1.56285129834,0.323219648316,14.7966642811,0.544802899649,0.112672908685,5933.72580645,1237.70967742,0.00580888696968,0.300216848741,0.648958534869,-0.467036870441,0.280346859807,-0.204803262402,-9.87841236611,-12.7729952699,-4.49795421949,0.581946884557,16.7619817205
7.103057,0.847524739343,4.07885524492,44.8891677718,41.7475750934,1363,88,-0.478303731778,0.405865750128,-0.231162382619,-0.33915077589,-0.000812272732288,-0.000812272732288,0.37361328125,0.55537109375,4.02712066906,2172,2386,2721,2695,2283,1971,2020,2328,1.48363339719,0.091023141097,14.7982405123,0.519458755261,0.0318695761796,5488.96547192,354.386618877,0.00557772458706,0.339152721294,0.668533854115,-0.468635748091,0.281448367139,-0.203851139442,-9.83472076981,-12.8694795174,-4.48698930344,0.583427746003,16.8070910237
