,index,time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,Fx,Fy,Fz,Mx,My,Mz,F_mag,A_mag,M_mag,Gyro_mag
0,1460,1.461855,4.96818086182,0.312165638625,79.2370112336,79.2370112336,1224,2060,1.92386757147,1.13344135994,-0.120374881272,8.96288904102,0.0214662943097,0.0214662943097,1.4540625,1.171328125,3.43918757467,1101,1263,1055,1113,1389,1060,1272,1529,0.618231697514,1.18868102829,2.9301689775,0.253462968962,0.289562807219,4209.5655914,7084.72640382,0.297142731258,-0.15284029068,-0.375682604562,-0.0605786389099,10.2892248406,-1.98216710298,5.87283837041,0.410082120212,8.96294045307,12.0119675644,2.23616767283
1,1461,1.462856,5.03107407462,0.367388947425,79.2951107564,79.2951107564,998,2685,1.77899160817,0.764859865071,-0.148071756608,9.07805502138,0.021742119082,0.021742119082,1.2925,1.14103515625,3.456869773,1101,1263,1055,1113,1389,1060,1272,1529,0.552422212135,1.59023373666,2.9323137761,0.225323882662,0.241092281901,3449.95603345,9281.6953405,0.296994659501,-0.157101978883,-0.380093768936,-0.0598572696952,10.4093488358,-2.19478440689,5.99134764184,0.415614241441,9.07810709403,12.2093352949,1.94209860724
2,1462,1.463857,5.08476340262,0.425296722625,79.3532102792,79.3532102792,1599,2510,1.23251095249,-0.41332260118,0.00745685105222,9.1711256833,0.0219650251351,0.0219650251351,1.3530859375,1.32279296875,3.41708482676,1101,1263,1055,1113,1389,1060,1272,1529,0.834333718028,1.32890151932,2.93447917457,0.344273145696,0.349325985452,5463.91863799,8576.88291517,0.297002116352,-0.161086503446,-0.384171068763,-0.0590689103616,10.5230253571,-2.39689259234,6.10766444776,0.420743874392,9.17117828981,12.4009161666,1.29999016353
3,1463,1.464858,5.14842360582,0.479369545825,79.411309802,79.411309802,947,2761,0.777643038303,-1.57126504315,0.207726565026,9.24223924975,0.0221353435157,0.0221353435157,1.22181640625,1.01986328125,3.41266427718,1101,1263,1055,1113,1389,1060,1272,1529,0.523819762649,1.66798701724,2.93667317316,0.21642499975,0.23637513212,3231.79307049,9422.3660693,0.297209842917,-0.164796617503,-0.387901276358,-0.0582126006645,10.6300487993,-2.58890263095,6.22177439742,0.425457438784,9.24229226418,12.5861364588,1.76543276753
4,1464,1.465859,5.20518089542,0.530757902625,79.4694093248,79.4694093248,1398,2938,0.175768631945,-1.69483571773,0.2631203157,9.29145055589,0.022253205555,0.022253205555,1.36318359375,1.009765625,3.39056152927,1153,1340,1080,1190,1305,1021,1298,1472,0.710950934215,1.75457404386,2.93914116366,0.295656282474,0.347195879985,4740.00501792,9961.469773,0.297472963233,-0.168237898506,-0.391270035631,-0.0572878457924,10.7301511576,-2.77138079657,6.33358026713,0.429741932504,9.2915038526,12.76444023,1.72412152199
5,1465,1.46686,5.26385566102,0.584830725825,79.5275088476,79.5275088476,1273,2764,-0.352602528326,-1.49563126819,0.0458063707494,9.31870713851,0.0223184856028,0.0223184856028,1.26220703125,0.59576171875,3.36403823178,1153,1340,1080,1190,1305,1021,1298,1472,0.665906529357,1.9042963796,2.94171393678,0.279107471944,0.36760642767,4282.42066906,9298.20167264,0.297518769604,-0.171417403169,-0.394262193692,-0.0562943282124,10.8230158328,-2.94497361853,6.44295690849,0.433584657101,9.31876059156,12.9353096235,1.53731573106
6,1466,1.467861,5.32406440742,0.625864712225,79.5856083704,79.5856083704,1172,3618,-1.06526443603,-1.00774015649,-0.178964425253,9.32389246809,0.0223309045684,0.0223309045684,1.28240234375,0.3433203125,3.38172043011,1153,1340,1080,1190,1305,1021,1298,1472,0.615558981577,2.75028271963,2.94508314432,0.25665580049,0.371464914946,3963.37634409,12235.0645161,0.297339805178,-0.174342029317,-0.396862018216,-0.0552315237327,10.9082894763,-3.11031918061,6.54981901146,0.436972683245,9.32394595089,13.098282093,1.47728020605
7,1467,1.468862,5.38082169702,0.669966660225,79.6437078932,79.6437078932,1397,3422,-1.62133247164,-1.48071756608,-0.135288583376,9.30688352471,0.0222901678168,0.0222901678168,1.37328125,0.4644921875,3.28446833931,1153,1340,1080,1190,1305,1021,1298,1472,0.648770062366,2.34485845854,2.94807976647,0.278512591213,0.410948184818,4588.40227001,11239.4506571,0.297204516595,-0.177017605882,-0.399053491675,-0.0540985179648,10.9855935498,-3.26799549862,6.65415748394,0.439892681976,9.30693690994,13.2529571055,2.19989692824
8,1468,1.469863,5.43681199622,0.710617151425,79.701807416,79.701807416,1448,3651,-2.46821769829,-1.33797213166,-0.414387865616,9.26758575576,0.0221960488926,0.0221960488926,1.37328125,-1.58533203125,3.28888888889,1153,1340,1080,1190,1305,1021,1298,1472,0.674917106357,4.33004446443,2.953089733,0.289347908097,0.736239299851,4762.31111111,12007.7333333,0.296790128729,-0.17944885162,-0.400820711592,-0.0528940645247,11.0545358965,-3.4185129129,6.75603835335,0.442331227985,9.26763891558,13.398994315,2.83795442782
9,1469,1.470864,5.49932171382,0.741296767425,79.7599069388,79.7599069388,1022,3800,-3.06263525359,-1.47965230165,-0.562459622225,9.20596422661,0.0220484641268,0.0220484641268,1.50455078125,-1.24201171875,3.27120669056,1162,1364,1070,1171,1523,1194,1508,1867,0.436955252451,4.1505346661,2.95768181041,0.188342396014,0.481152195208,3343.17323775,12430.5854241,0.296227669107,-0.181639565561,-0.402148955206,-0.0516171430924,11.114749416,-3.56233222981,6.8556119198,0.444275864088,9.20601703297,13.5361471731,3.44753048673
10,1470,1.471865,5.55454502262,0.774277354625,79.8180064616,79.8180064616,1498,3800,-3.58141903394,-1.17285614407,-0.854342077697,9.12208318551,0.021847567395,0.021847567395,1.56513671875,-1.04005859375,3.35077658303,1162,1364,1070,1171,1523,1194,1508,1867,0.663097316227,4.13620747686,2.96248591451,0.279030007734,0.686126468077,5019.46332139,12732.9510155,0.29537332703,-0.183592717015,-0.403027584747,-0.0502687328545,11.166008822,-3.69991676133,6.9531835316,0.445717921236,9.12213551071,13.664402595,3.86420162738
11,1471,1.472866,5.60861784582,0.809942408225,79.8761059844,79.8761059844,1574,3800,-3.78381927678,-0.633832339439,-1.10894027791,9.01614312064,0.0215938388705,0.0215938388705,1.42376953125,2.3628515625,3.32867383513,1162,1364,1070,1171,1523,1194,1508,1867,0.738372044462,0.903812133599,2.96412974087,0.312768578196,0.158579545642,5239.33261649,12648.9605735,0.294264386752,-0.18531047771,-0.403453810003,-0.0488541609029,11.2083841929,-3.83180041713,7.04931433537,0.4466561082,9.01619483816,13.7841722005,3.99359240457
