,time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,Fx,Fy,Fz,Mx,My,Mz,F_mag,A_mag,M_mag,Gyro_mag
0,0.000395,3.0576072296,5.48589878638,0.290497614,0.290497614,-780,302,-0.0447411063133,0.00106526443603,0.0415453130052,1.0888572858e-06,2.60783446625e-09,2.60783446625e-09,0.0,-0.08078125,3.6027479092,1245,1425,1126,1264,1345,1061,1314,1459,0.749011463353,0.296504331424,0.0,-0.293139067719,-0.299711867401,-2810.14336918,1088.02986858,0.0,-1.27285954367e-09,7.32658855967e-10,1.40550105953e-09,-4.71442759586e-08,-5.97801401708e-08,-8.83009738351e-08,2.03282897595e-09,1.0888635316e-06,1.16590350779e-07,0.0610648377969
1,0.001396,3.0572237344,5.48589878638,0.290497614,0.290497614,-680,277,-0.0447411063133,0.00213052887206,0.0426105774413,9.68120598837e-06,2.31866774282e-08,2.31866774282e-08,-0.08078125,0.03029296875,3.59832735962,1245,1425,1126,1264,1345,1061,1314,1459,0.666006249624,0.263108927256,0.000930044292057,-0.260973701978,-0.253094769026,-2446.86260454,996.736678614,4.26105774413e-05,-1.12467648656e-08,6.47364583213e-09,1.24187621592e-08,-4.1655859761e-07,-5.28206889344e-07,-7.80211999877e-07,1.79617221855e-08,9.68126152075e-06,1.0301719992e-06,0.0618220596332
2,0.002397,3.0572237344,5.48589878638,0.290497614,0.290497614,-705,277,-0.0468716351854,0.00213052887206,0.0436758418773,4.33618421139e-05,1.03852458774e-07,1.03852458774e-07,0.040390625,0.07068359375,3.59832735962,1245,1425,1126,1264,1345,1061,1314,1459,0.667750345692,0.260130499121,0.00185885301772,-0.261657123805,-0.259429323913,-2536.82078853,996.736678614,8.62864193186e-05,-5.01148555745e-08,2.8846146407e-08,5.53371995824e-08,-1.85615812254e-06,-2.35365567693e-06,-3.4765741223e-06,8.00362703367e-08,4.33620908419e-05,4.59037968465e-06,0.0641020163639
3,0.003398,3.0572237344,5.48513179598,0.290497614,0.290497614,-705,327,-0.0458063707494,-0.00213052887206,0.0436758418773,0.000133568495521,3.19899155531e-07,3.19899155531e-07,0.08078125,0.03029296875,3.6027479092,1245,1425,1126,1264,1345,1061,1314,1459,0.661811553214,0.311368374434,0.00283300612529,-0.259011819186,-0.262724819007,-2539.93727599,1178.09856631,0.000129962261196,-1.53731075465e-07,8.84877160543e-08,1.69751007112e-07,-5.69390415558e-06,-7.22001518994e-06,-1.06646516812e-05,2.45517257788e-07,0.000133569261683,1.40813337208e-05,0.0633272604665
4,0.004399,3.0576072296,5.48589878638,0.290497614,0.290497614,-730,227,-0.0458063707494,-0.0031957933081,0.0436758418773,0.000324349958609,7.76824485829e-07,7.76824485829e-07,-0.0201953125,-0.08078125,3.6027479092,1246,1426,1126,1264,1345,1062,1315,1460,0.70492737301,0.222869149779,0.0037617304446,-0.275885968432,-0.280499568209,-2630.00597372,817.823775388,0.000173638103073,-3.70011878244e-07,2.02595096167e-07,4.09209943537e-07,-1.33419976426e-05,-1.74880489869e-05,-2.55979934245e-05,5.87712804797e-07,0.000324351819114,3.37505263044e-05,0.0633720432035
5,0.0054,3.0572237344,5.48436480558,0.290497614,0.290497614,-680,377,-0.0447411063133,0.0,0.0404800485692,0.00066997227233,1.60459667763e-06,1.60459667763e-06,-0.08078125,-0.03029296875,3.59832735962,1246,1426,1126,1264,1345,1062,1315,1460,0.666006249624,0.364174608973,0.00479294148406,-0.260973701978,-0.257392368818,-2446.86260454,1356.56941458,0.000214118151642,-7.48358631742e-07,3.39004517201e-07,8.3199859617e-07,-2.45144935507e-05,-3.61219239137e-05,-5.1292149129e-05,1.16926744948e-06,0.00066997611536,6.73545718088e-05,0.0603357350689
6,0.006401,3.0572237344,5.48474830078,0.290497614,0.290497614,-705,252,-0.0436758418773,0.0031957933081,0.0404800485692,0.00123252301614,2.95191669638e-06,2.95191669638e-06,-0.08078125,0.0605859375,3.59832735962,1246,1426,1126,1264,1345,1062,1315,1460,0.690491773507,0.237330421484,0.00572169150124,-0.270568323375,-0.260171923877,-2536.82078853,906.778494624,0.000254598200212,-1.32658246639e-06,3.54744218861e-07,1.49002231808e-06,-3.48604854277e-05,-6.66481841684e-05,-8.92514392794e-05,2.02628502668e-06,0.00123253008602,0.0001167178363,0.0596357828047
7,0.007402,3.0572237344,5.48589878638,0.290497614,0.290497614,-705,202,-0.0447411063133,0.0031957933081,0.0404800485692,0.00207946443647,4.98035793989e-06,4.98035793989e-06,-0.08078125,-0.01009765625,3.59832735962,1246,1426,1126,1264,1345,1062,1315,1460,0.690491773507,0.194042042559,0.00660710985113,-0.270568323375,-0.265370123626,-2536.82078853,726.862126643,0.000295078248781,-2.12397527709e-06,-3.15782715873e-08,2.42261234049e-06,-3.48826798075e-05,-0.000113081398233,-0.000138827842998,3.22200538752e-06,0.00207947636449,0.000182420870429,0.0604203113297
8,0.008403,3.0579907248,5.48513179598,0.290497614,0.290497614,-755,327,-0.0447411063133,0.00532632218016,0.0436758418773,0.00328137317395,7.85895284094e-06,7.85895284094e-06,0.05048828125,-0.07068359375,3.59832735962,1246,1426,1126,1264,1345,1062,1315,1460,0.713079001652,0.319391639757,0.00764061296318,-0.2794191,-0.288962299539,-2716.73715651,1176.65304659,0.000338754090658,-3.1417158271e-06,-1.22670868515e-06,3.65618314973e-06,-1.04004954111e-05,-0.000179806841067,-0.000197336323738,4.97422031688e-06,0.00328139199625,0.000267170909842,0.0627512188391
9,0.009404,3.0576072296,5.48513179598,0.290497614,0.290497614,-680,277,-0.0490021640575,0.00426105774413,0.0447411063133,0.00491008456722,1.17597484386e-05,1.17597484386e-05,0.08078125,-0.08078125,3.59832735962,1246,1425,1126,1265,1345,1059,1315,1462,0.636759590685,0.271299604626,0.00854958021768,-0.249513435865,-0.260973701978,-2446.86260454,996.736678614,0.000383495196971,-4.36641821162e-06,-3.72029395741e-06,5.20227374643e-06,5.60204538596e-05,-0.000271221856553,-0.000260393746502,7.74402009689e-06,0.00491011273196,0.0003801374619,0.0664916181902
10,0.010405,3.0572237344,5.48551529118,0.290497614,0.290497614,-680,252,-0.0490021640575,0.00213052887206,0.0415453130052,0.00703732151631,1.68545224793e-05,1.68545224793e-05,-0.05048828125,0.05048828125,3.59832735962,1246,1425,1126,1265,1345,1059,1315,1462,0.660522501073,0.238007825717,0.0094490090748,-0.258824902082,-0.251662235761,-2446.86260454,906.778494624,0.000425040509977,-5.77621287309e-06,-7.99341677189e-06,7.04585142284e-06,0.00018220451689,-0.000390718982262,-0.000322241255088,1.21203700074e-05,0.00703736188311,0.000538237155495,0.0642788010801
11,0.011406,3.0576072296,5.48628228158,0.290497614,0.290497614,-730,226,-0.0458063707494,0.00213052887206,0.0404800485692,0.00973372221777,2.33124548233e-05,2.33124548233e-05,-0.07068359375,0.05048828125,3.59832735962,1246,1425,1126,1265,1345,1059,1315,1462,0.713014975605,0.213451462746,0.0103764019796,-0.279394011475,-0.27016681192,-2626.77897252,813.221983274,0.000465520558546,-7.34794531081e-06,-1.44046914329e-05,9.12891149106e-06,0.000382852823845,-0.000539359892515,-0.000376045690501,1.85694496574e-05,0.00973377805139,0.000760851982796,0.0611669607441
12,0.012407,3.0568402392,5.48589878638,0.290497614,0.290497614,-655,302,-0.0479368996214,-0.0031957933081,0.0404800485692,0.0130679918294,3.12980956656e-05,3.12980956656e-05,-0.05048828125,-0.0201953125,3.59832735962,1246,1425,1126,1265,1345,1059,1315,1462,0.636238585592,0.290914269502,0.0113044819875,-0.249309280682,-0.247239480782,-2356.90442055,1086.6948626,0.000506000607115,-9.06138575567e-06,-2.31309440715e-05,1.13439147478e-05,0.000667657466206,-0.000715250396283,-0.000414164701687,2.73099558267e-05,0.0130680667887,0.00106248859838,0.062823512894
