,time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,Fx,Fy,Fz,Mx,My,Mz,F_mag,A_mag,M_mag,Gyro_mag
0,0.000318,3.1415926784,4.76416081998,0.4555922976,0.4555922976,-659,527,0.0234358175927,0.0213052887206,0.0031957933081,7.63921613558e-07,1.82960718482e-09,1.82960718482e-09,-0.09087890625,-0.08078125,3.87240143369,1130,1208,985,1145,1347,1237,1474,1695,0.748249942151,0.596848331252,0.0,-0.272449134342,-0.271754987709,-2551.9125448,2040.75555556,0.0,-2.35022293387e-09,3.2460897549e-09,3.87040764487e-09,-1.31090107391e-07,-3.27335389899e-08,-1.04148039451e-07,5.57141829997e-09,7.63925995491e-07,1.70595764754e-07,0.0318334096285
1,0.001319,3.1415926784,4.76416081998,0.4555922976,0.4555922976,-684,502,0.0276968753368,0.0234358175927,0.00106526443603,6.74127053665e-06,1.61454746007e-08,1.61454746007e-08,-0.1009765625,0.03029296875,3.87682198327,1130,1208,985,1145,1347,1237,1474,1695,0.78037052583,0.553827735698,0.00133553245979,-0.283820728981,-0.274454489433,-2651.74623656,1946.1646356,1.06526443603e-06,-2.07661598253e-08,2.86818827636e-08,3.41982467213e-08,-1.15828931901e-06,-2.89227839842e-07,-9.2023390699e-07,4.92280801125e-08,6.74130920527e-06,1.50735441534e-06,0.0362972345776
2,0.00232,3.1412091832,4.76416081998,0.4555922976,0.4555922976,-659,502,0.0245010820287,0.0213052887206,0.00106526443603,3.00160277927e-05,7.18889728142e-08,7.18889728142e-08,-0.09087890625,0.0,3.87240143369,1130,1208,984,1144,1347,1237,1474,1696,0.748249942151,0.556917126654,0.00264200469566,-0.272449134342,-0.266201814643,-2551.9125448,1943.94551971,2.13052887206e-06,-9.14385452012e-08,1.21837787719e-07,1.49430794646e-07,-4.92450338925e-06,-1.28752372814e-06,-4.1027644554e-06,2.13389354124e-07,3.00161999677e-05,6.53766985689e-06,0.0324861991678
3,0.003321,3.140825688,4.76454431518,0.4555922976,0.4555922976,-659,477,0.0223705531567,0.0191747598486,0.00213052887206,9.20491041878e-05,2.20459402364e-07,2.20459402364e-07,-0.08078125,-0.07068359375,3.87682198327,1130,1208,984,1144,1347,1237,1474,1696,0.748031072386,0.540061356449,0.00393138521693,-0.272058871059,-0.271364724425,-2554.82568698,1849.24408602,4.26105774413e-06,-2.74183446233e-07,3.39328411488e-07,4.4134857475e-07,-1.37405993002e-05,-3.94232606814e-06,-1.2598584013e-05,6.20571428173e-07,9.20496321908e-05,1.90544042964e-05,0.0295406874846
4,0.004322,3.140825688,4.76377732478,0.4555922976,0.4555922976,-684,552,0.0245010820287,0.0202400242846,0.0031957933081,0.000222805010661,5.33622352194e-07,5.33622352194e-07,-0.040390625,0.0201953125,3.87240143369,1130,1208,984,1144,1347,1237,1474,1696,0.766742178565,0.60919324512,0.00530869657604,-0.279182437639,-0.274859557848,-2648.72258065,2137.5655914,7.45685105222e-06,-6.43856130819e-07,7.1385652784e-07,1.01494057078e-06,-2.89939632236e-05,-9.51802186443e-06,-3.05299015783e-05,1.39794356887e-06,0.000222806288694,4.31661619096e-05,0.0319401737392
5,0.005323,3.1404421928,4.76454431518,0.4555922976,0.4555922976,-659,452,0.0255663464648,0.0181094954125,0.00532632218016,0.000459148899696,1.09967058252e-06,1.09967058252e-06,0.05048828125,0.03029296875,3.87240143369,1130,1208,984,1144,1347,1237,1474,1696,0.721560437298,0.497524578323,0.00652900067667,-0.262731081478,-0.264119374744,-2551.9125448,1750.32544803,1.27831732324e-05,-1.28267444808e-06,1.23347332639e-06,1.97314002077e-06,-5.03205140462e-05,-1.95535713974e-05,-6.29695606464e-05,2.65706449456e-06,0.000459151533421,8.29437270459e-05,0.0317798930712
6,0.006324,3.1404421928,4.76531130558,0.4555922976,0.4555922976,-684,452,0.0234358175927,0.0170442309765,0.00426105774413,0.000843205316477,2.01949320182e-06,2.01949320182e-06,0.01009765625,-0.07068359375,3.87682198327,1130,1208,984,1144,1347,1237,1474,1696,0.758579817856,0.51175625391,0.00780060708451,-0.275895449363,-0.281659289085,-2651.74623656,1752.32353644,1.70442309765e-05,-2.27684598375e-06,1.84242667502e-06,3.41269438603e-06,-7.56337620234e-05,-3.57982513746e-05,-0.000115728856292,4.49722655188e-06,0.000843210153189,0.000142811585448,0.0292899294796
7,0.007327,3.1396752024,4.76492781038,0.4555922976,0.4555922976,-634,527,0.0223705531567,0.0213052887206,0.00106526443603,0.00142066841975,3.40252861274e-06,3.40252861274e-06,-0.040390625,0.01009765625,3.87240143369,1130,1208,984,1144,1347,1237,1474,1696,0.710693773699,0.583127507328,0.00909830982938,-0.258774364713,-0.255435298207,-2455.10250896,2040.75555556,1.81094954125e-05,-3.71469632983e-06,2.44841043384e-06,5.42362686323e-06,-0.000101408282795,-6.015472484e-05,-0.000195162582964,7.01494196889e-06,0.00142067656885,0.000228014614727,0.0309110298166
8,0.008326,3.140825688,4.76454431518,0.4555922976,0.4555922976,-759,527,0.0223705531567,0.0202400242846,0.00213052887206,0.00223935346739,5.36329529176e-06,5.36329529176e-06,-0.07068359375,0.05048828125,3.87682198327,1130,1208,984,1145,1347,1235,1473,1698,0.859342913092,0.578356245574,0.0105345712889,-0.312542983064,-0.302949223527,-2942.5078853,2043.08518519,2.02400242846e-05,-5.68691262991e-06,2.94045979486e-06,8.08278995717e-06,-0.000123273580266,-9.45963852781e-05,-0.000307905509472,1.03110994834e-05,0.00223936631255,0.000344892236014,0.0302430055525
9,0.009327,3.1412091832,4.76454431518,0.4555922976,0.4555922976,-709,502,0.0223705531567,0.0191747598486,0.00426105774413,0.00334807627296,8.01870806584e-06,8.01870806584e-06,-0.08078125,-0.08078125,3.87240143369,1130,1208,984,1145,1347,1235,1473,1698,0.802970525347,0.568534843052,0.0119074481627,-0.292373727292,-0.292373727292,-2745.53261649,1943.94551971,2.45010820287e-05,-8.29240723739e-06,3.23816873714e-06,1.14304699287e-05,-0.000137532304911,-0.000141001284,-0.000460378779253,1.4488112277e-05,0.00334809547786,0.000500744562996,0.0297702817737
10,0.010328,3.140825688,4.76492781038,0.4555922976,0.4555922976,-659,477,0.0234358175927,0.0191747598486,0.00532632218016,0.0047956920087,1.14857760267e-05,1.14857760267e-05,-0.0605859375,-0.0605859375,3.87682198327,1130,1208,984,1145,1347,1235,1473,1698,0.744213933483,0.53867988812,0.0131916248781,-0.270670577792,-0.270670577792,-2554.82568698,1849.24408602,2.98274042089e-05,-1.16469575824e-05,3.35562573329e-06,1.54389239132e-05,-0.000143110268452,-0.000200948577382,-0.000658194513097,1.96283523655e-05,0.00479571951728,0.000702908882259,0.0307453845228
11,0.011329,3.140825688,4.76416081998,0.4555922976,0.4555922976,-684,552,0.0223705531567,0.0202400242846,0.00532632218016,0.00663028015941,1.58796504795e-05,1.58796504795e-05,-0.03029296875,0.07068359375,3.87240143369,1130,1208,984,1145,1347,1235,1473,1698,0.764763463919,0.601208957953,0.0145589632724,-0.278461957674,-0.271257158022,-2648.72258065,2137.5655914,3.5153726389e-05,-1.58864238415e-05,3.43202166183e-06,1.99985346684e-05,-0.000142512443108,-0.000275610831725,-0.00090583129699,2.57701110599e-05,0.00663031819138,0.000957497501622,0.0306344567365
12,0.01233,3.1404421928,4.76454431518,0.4555922976,0.4555922976,-659,477,0.0245010820287,0.0191747598486,0.00213052887206,0.0088985987129,2.13123177181e-05,2.13123177181e-05,0.0605859375,-0.07068359375,3.87682198327,1130,1208,984,1145,1347,1235,1473,1698,0.721311100061,0.540061356449,0.0158215971013,-0.262340818195,-0.271364724425,-2554.82568698,1849.24408602,3.72842552611e-05,-2.11633974534e-05,3.72228438292e-06,2.49251425293e-05,-0.00014158794917,-0.000365760455682,-0.00120663147792,3.29090796423e-05,0.00889864975617,0.00126877396797,0.0311851501376
13,0.013331,3.142743164,4.76454431518,0.4555922976,0.4555922976,-835,502,0.0223705531567,0.0181094954125,0.0,0.0116457068249,2.78916953008e-05,2.78916953008e-05,0.07068359375,-0.03029296875,3.87240143369,1131,1208,985,1145,1347,1237,1475,1696,0.909437463571,0.561273770303,0.0172937790464,-0.331139951679,-0.339935284588,-3233.45519713,1943.94551971,3.72842552611e-05,-2.7640311116e-05,4.56495496782e-06,2.99809371537e-05,-0.000148607181322,-0.000471756698391,-0.00156295285013,4.10326967803e-05,0.0116457736258,0.00163934745815,0.0287818601315
14,0.014332,3.140825688,4.76531130558,0.4555922976,0.4555922976,-559,452,0.0255663464648,0.0181094954125,0.00106526443603,0.0149145115684,3.57205465054e-05,3.57205465054e-05,0.0605859375,0.040390625,3.87240143369,1131,1208,985,1145,1347,1237,1475,1696,0.610450092031,0.496217006656,0.0184015528122,-0.222274122273,-0.223451748883,-2164.67240143,1750.32544803,3.83495196971e-05,-3.5477889576e-05,6.31958642542e-06,3.49159329328e-05,-0.000172407402694,-0.000593377485904,-0.00197647363028,5.01770883365e-05,0.0149145971196,0.00207081364794,0.0313484717964
15,0.015333,3.1404421928,4.76339382958,0.4555922976,0.4555922976,-659,628,0.0234358175927,0.0159789665405,0.00213052887206,0.0187452477951,4.48952345874e-05,4.48952345874e-05,0.0605859375,-0.08078125,3.87682198327,1131,1208,985,1145,1347,1237,1475,1696,0.721311100061,0.712842964277,0.0198371410306,-0.262340818195,-0.272058871059,-2554.82568698,2434.6442055,4.04800485692e-05,-4.48216093829e-05,9.29039685669e-06,3.95187650123e-05,-0.000220115583291,-0.000729575878846,-0.00244856868259,6.04733075788e-05,0.0187453553197,0.00256441424625,0.0284447547223
16,0.016334,3.1412091832,4.76492781038,0.4555922976,0.4555922976,-734,402,0.0234358175927,0.0170442309765,0.0031957933081,0.0231750075156,5.55045956367e-05,5.55045956367e-05,0.0605859375,0.0,3.87240143369,1131,1208,985,1145,1347,1237,1475,1696,0.801557008141,0.44597745999,0.0210859230332,-0.291859044273,-0.296497924049,-2842.34265233,1556.70537634,4.36758418773e-05,-5.57939352304e-05,1.36847096989e-05,4.36441455104e-05,-0.000295923671134,-0.000878391626251,-0.00298051981072,7.21460042231e-05,0.0231751404498,0.00312132039533,0.0291540126001
17,0.017335,3.1419761736,4.76377732478,0.4555922976,0.4555922976,-735,577,0.0234358175927,0.0191747598486,0.0031957933081,0.0282372946394,6.76288721711e-05,6.76288721711e-05,0.0605859375,0.040390625,3.87240143369,1131,1208,985,1145,1347,1237,1475,1696,0.802649047661,0.633445161152,0.0225234533363,-0.292256672399,-0.293805072324,-2846.21505376,2234.37562724,4.68716351854e-05,-6.84933876657e-05,1.96128447311e-05,4.72124917656e-05,-0.000401119082883,-0.00103704986325,-0.00357352723421,8.54694519176e-05,0.0282374566114,0.00374252132007,0.0304486790577
18,0.018336,3.1415926784,4.76454431518,0.4555922976,0.4555922976,-659,452,0.0234358175927,0.0202400242846,0.00106526443603,0.0339616362219,8.13387820645e-05,8.13387820645e-05,-0.01009765625,-0.0605859375,3.87240143369,1131,1208,985,1145,1347,1237,1475,1696,0.73299879652,0.50929272332,0.0237669871476,-0.266895961277,-0.270366694442,-2551.9125448,1750.32544803,4.79368996214e-05,-8.29957839539e-05,2.71004903041e-05,5.02012148568e-05,-0.000534490303718,-0.00120211012428,-0.00422866324256,0.000100711959081,0.0339618310293,0.00442858233012,0.0309843656962
19,0.019337,3.1404421928,4.76531130558,0.4555922976,0.4555922976,-609,452,0.0234358175927,0.0191747598486,0.00106526443603,0.0403733386509,9.66949346108e-05,9.66949346108e-05,-0.01009765625,0.05048828125,3.86356033453,1130,1208,984,1145,1347,1237,1474,1696,0.674298785207,0.492637261768,0.0249350901306,-0.246084234442,-0.242235354628,-2352.90824373,1746.32927121,4.90021640575e-05,-9.93545355368e-05,3.61040578946e-05,5.26330036896e-05,-0.000692859737747,-0.00136964706905,-0.00494677827116,0.000118089202748,0.0403735702365,0.00517944041128,0.0302992367859
20,0.020338,3.140825688,4.76569480078,0.4555922976,0.4555922976,-709,477,0.0245010820287,0.0202400242846,0.0031957933081,0.0474933245398,0.000113747439877,0.000113747439877,-0.0201953125,-0.07068359375,3.87240143369,1130,1208,984,1145,1347,1237,1474,1696,0.790664308823,0.538841461744,0.026265925407,-0.287892847508,-0.291626913995,-2745.53261649,1847.13548387,5.21979573656e-05,-0.000117598232066,4.65361553e-05,5.45543675598e-05,-0.000872035376281,-0.00153554484417,-0.00572825860029,0.000137735750461,0.0474935969663,0.00599427145346,0.0319401737392
21,0.021339,3.140825688,4.76492781038,0.4555922976,0.4555922976,-684,552,0.0245010820287,0.0213052887206,0.00213052887206,0.0553379885392,0.000132535563371,0.000132535563371,-0.07068359375,0.040390625,3.87240143369,1130,1208,984,1145,1347,1237,1474,1696,0.772678322502,0.605999530253,0.0276459819376,-0.281343877535,-0.273418597918,-2648.72258065,2137.5655914,5.43284862376e-05,-0.000137726927117,5.82954971982e-05,5.60098120152e-05,-0.00106794890657,-0.00169584018035,-0.00657271598352,0.000159700252,0.0553383059636,0.00687146157556,0.0325385540755
22,0.02234,3.140825688,4.76416081998,0.4555922976,0.4555922976,-684,552,0.0245010820287,0.0202400242846,0.0031957933081,0.0639192024739,0.000153087738347,0.000153087738347,-0.07068359375,0.05048828125,3.87240143369,1130,1208,984,1145,1347,1237,1474,1696,0.772678322502,0.60440267282,0.0290244400139,-0.281343877535,-0.272698117953,-2648.72258065,2137.5655914,5.75242795457e-05,-0.000159711227085,7.12847612669e-05,5.70272381798e-05,-0.00127730598131,-0.00184692549161,-0.00747884225917,0.000183960047674,0.063919569121,0.00780869552992,0.0319401737392
23,0.023341,3.1412091832,4.76416081998,0.4555922976,0.4555922976,-709,502,0.0255663464648,0.0191747598486,-0.00106526443603,0.0732445399728,0.000175422103792,0.000175422103792,-0.0605859375,-0.08078125,3.87682198327,1130,1208,984,1145,1347,1237,1474,1696,0.80067933056,0.569820331317,0.0303963101754,-0.291207040447,-0.292700667042,-2748.66678614,1946.1646356,5.64590151097e-05,-0.000183494748192,8.54141312655e-05,5.76167059961e-05,-0.00149765618004,-0.00198558626898,-0.00844446090913,0.000210441396221,0.0732449601109,0.00880309303091,0.0319756825592
24,0.024342,3.1412091832,4.76454431518,0.4555922976,0.4555922976,-684,477,0.0255663464648,0.0191747598486,0.0,0.0833174825951,0.00019954699811,0.00019954699811,-0.08078125,0.040390625,3.87240143369,1130,1209,981,1142,1347,1238,1476,1696,0.774657037147,0.523662637556,0.0316959281698,-0.2820643575,-0.273418597918,-2648.72258065,1847.13548387,5.64590151097e-05,-0.000208987310886,0.00010058474146,5.77733770371e-05,-0.00172673684039,-0.0021087085476,-0.00946690177204,0.000239020395406,0.0833179605127,0.00985142126884,0.031957933081
25,0.025343,3.1412091832,4.76569480078,0.4555922976,0.4555922976,-684,427,0.0245010820287,0.0191747598486,0.00106526443603,0.0941373109788,0.000225460698413,0.000225460698413,-0.040390625,0.07068359375,3.87240143369,1130,1209,981,1142,1347,1238,1476,1696,0.766742178565,0.465065625083,0.0329289677813,-0.279182437639,-0.271257158022,-2648.72258065,1653.51541219,5.75242795457e-05,-0.000236029045589,0.000116627859605,5.74805667626e-05,-0.00196026964413,-0.00221219972001,-0.0105441218853,0.000269473159245,0.09413785096,0.010950570351,0.0311305191757
