,index,time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,Fx,Fy,Fz,Mx,My,Mz,F_mag,A_mag,M_mag,Gyro_mag
0,3313,3.318391,5.68915268137,2.36003085017,187.099062933,187.099062933,2832,1955,1.42745434428,0.958737992429,1.68737886667,-2.696161454,-0.00645735934182,-0.00645735934182,0.1615625,1.3530859375,3.34635603345,1439,1503,1263,1535,1343,1163,1328,1379,2.23291807636,0.964741966312,7.0356157083,0.940848629432,0.588849926429,9476.88028674,6542.1260454,0.217946712025,-0.088962487622,-0.109945838727,-0.0268963008732,4.06346058892,-5.61929153013,4.18570430377,0.14396465767,2.69617691946,8.0998931954,2.40915999528
1,3314,3.319392,5.72635171577,2.42023959657,187.157162456,187.157162456,2762,2104,1.74703367509,0.672181859136,1.33158054504,-2.76988132998,-0.00663391988463,-0.00663391988463,0.1413671875,1.38337890625,3.38614097969,1439,1503,1263,1535,1343,1163,1328,1379,2.24511839221,1.05561667486,7.0389197441,0.934874522948,0.577029820227,9352.5213859,7124.44062127,0.219278292571,-0.0853947980261,-0.0975024757824,-0.025397892554,3.46463553701,-5.41053470679,3.58237455761,0.132075952617,2.7698972183,7.35601744755,2.29718563934
2,3315,3.320393,5.76815269257,2.48658426617,187.215261979,187.215261979,2467,1702,1.98352237989,0.621049166206,1.03756756069,-2.82570123082,-0.00676760963739,-0.00676760963739,0.4644921875,1.48435546875,3.35077658303,1439,1503,1263,1535,1343,1163,1328,1379,1.76514283735,0.787482259028,7.04147492182,0.742768531112,0.480312637119,8266.36583035,5703.02174432,0.220315860131,-0.0819243057785,-0.0851274442172,-0.023842281509,2.86363157426,-5.19141105977,2.97615965981,0.120526876769,2.82571743933,6.63390238888,2.32306038264
3,3316,3.321394,5.80496823177,2.54832699337,187.273361502,187.273361502,2797,2001,2.11774569883,0.445280534261,0.73822825417,-2.86318125176,-0.00685737501957,-0.00685737501957,0.43419921875,1.50455078125,3.33751493429,1439,1503,1263,1535,1343,1163,1328,1379,2.00510011157,0.905629144088,7.04438856181,0.847094683614,0.53480032536,9335.02927121,6678.36738351,0.221054088385,-0.0785493923958,-0.0728978994961,-0.0222469154697,2.26393805802,-4.96245582834,2.37093730351,0.109448782746,2.86319767526,5.94749754737,2.28650444005
4,3317,3.322395,5.84101678057,2.61122020617,187.331461024,187.331461024,2853,1925,2.25409954664,0.302535099833,0.403735221256,-2.88195399788,-0.00690233611318,-0.00690233611318,0.64625,1.48435546875,3.39498207885,1435,1413,1289,1555,1183,1055,1127,1159,1.96968954991,0.923783400569,7.04728492823,0.818049168114,0.568620900158,9685.88387097,6535.34050179,0.221457823607,-0.0752689868633,-0.0608867973305,-0.0206306476626,1.66882900991,-4.72432217033,1.77042333897,0.0989860904146,2.88197052906,5.31400122625,2.30986891007
5,3318,3.323396,5.87859931017,2.67756487577,187.389560547,187.389560547,2758,1698,2.43412923633,0.162985458713,0.0362189908251,-2.88173720691,-0.00690181689458,-0.00690181689458,0.7068359375,1.46416015625,3.34635603345,1435,1413,1289,1555,1183,1055,1127,1159,1.80226020122,0.79122638536,7.04988100831,0.759389275475,0.541507285996,9229.24994026,5682.1125448,0.221494042597,-0.0720836752037,-0.0491622201863,-0.0190130956032,1.08132853798,-4.47778461221,1.17811526316,0.0892999324128,2.88175373685,4.7547641386,2.43984860477
6,3319,3.324397,5.91963329657,2.73623964137,187.44766007,187.44766007,2537,2198,2.31162382619,0.27377296006,-0.302535099833,-2.86233466148,-0.00685534741931,-0.00685534741931,0.59576171875,1.413671875,3.36403823178,1435,1413,1289,1555,1183,1055,1127,1159,1.74790156116,1.06691769978,7.05269864239,0.732613909662,0.516157080114,8534.56499403,7394.15603345,0.221191507498,-0.0689972139228,-0.0377865862757,-0.0174139587801,0.504165980681,-4.22375040109,0.597223847084,0.0805710096243,2.86235108012,4.29545423795,2.34735677606
7,3320,3.325398,5.96105077817,2.80028333977,187.505759593,187.505759593,2516,1846,2.04317718831,0.432497361029,-0.657268157032,-2.82362582113,-0.00676263899065,-0.00676263899065,0.51498046875,1.66611328125,3.37729988053,1435,1413,1289,1555,1183,1055,1127,1159,1.7993865482,0.789268561257,7.05528988615,0.751231789509,0.449110524098,8497.2864994,6234.49557945,0.220534239341,-0.0660171784466,-0.0268162404468,-0.0158525444406,-0.0602436466934,-3.96325687793,0.0306374711135,0.0729978202893,2.82364201774,3.96383312364,2.1894356397
8,3321,3.326399,6.00668670697,2.86701150457,187.563859116,187.563859116,2245,1669,1.68844413111,0.557133300045,-0.885234746342,-2.76554969949,-0.00662354554503,-0.00662354554503,0.59576171875,1.4540625,3.37287933094,1435,1413,1289,1555,1183,1055,1127,1159,1.55574184889,0.799128780683,7.05764711165,0.650363025681,0.449360702053,7572.11409797,5629.33560335,0.219649004594,-0.0631545704826,-0.016301494236,-0.0143475344259,-0.609789012291,-3.69745181624,-0.519074749832,0.0667839069782,2.76556556297,3.78317739061,1.98617261436
9,3322,3.3274,6.04772069337,2.92722025097,187.621958638,187.621958638,2549,2094,1.3273194873,0.920388472731,-0.977912752277,-2.68809192791,-0.00643803266923,-0.00643803266923,0.7876171875,1.50455078125,3.39056152927,1435,1413,1289,1555,1183,1055,1127,1159,1.66430324297,0.990646211215,7.06030471605,0.69211767795,0.501486473822,8642.54133811,7099.83584229,0.218671091842,-0.0604231383053,-0.00628681456244,-0.0129168419578,-1.14264286324,-3.42756969145,-1.0496477262,0.0621073625761,2.68810734708,3.76239645064,1.88817512778
