,index,time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,Fx,Fy,Fz,Mx,My,Mz,F_mag,A_mag,M_mag,Gyro_mag
0,8584,8.60602,4.27482263187,5.35206064867,216.76989481,216.76989481,1436,537,-6.06881149207,3.98408899076,3.92869524008,0.196009020009,0.000469445431209,0.000469445431209,0.444296875,0.65634765625,3.71768219833,1054,1082,974,1160,1567,1465,1567,1731,1.2928553734,0.452150954036,22.9479368298,0.490339404834,0.458575086368,5338.5916368,1996.3953405,-0.408274313018,0.027912526941,-0.00262979741,-0.0016170215191,1.15882053682,2.87029342197,-2.11912333195,0.0280827305161,0.196010144337,3.75128418822,8.25457959572
1,8585,8.607021,4.29783234387,5.38734220707,216.795205493,216.795205493,1462,384,-6.08052940087,4.19607661353,3.83069091197,0.18198322979,0.000435853389691,0.000435853389691,0.55537109375,0.75732421875,3.71768219833,1054,1082,974,1160,1567,1465,1567,1731,1.27159947443,0.312661084129,22.9495226746,0.482277710493,0.451478245314,5435.25137395,1427.58996416,-0.404443622106,0.0250649552466,0.000710209206642,0.00203285248206,1.02637715871,2.71335659578,-2.21706366933,0.0251572826006,0.181984273664,3.65118137069,8.32190420544
2,8586,8.608022,4.31969157027,5.42607522227,216.820516176,216.820516176,1537,156,-5.95589346185,4.40486844299,3.74227396378,0.172102354233,0.000412188499747,0.000412188499747,0.57556640625,0.7876171875,3.72210274791,1031,1058,942,1113,1534,1422,1566,1759,1.3317450442,0.126058183581,22.9509819357,0.504489166338,0.470490727979,5720.87192354,580.648028674,-0.400701348142,0.0222073642734,0.00399807422875,0.0055576096489,0.887114681749,2.53782683681,-2.3061636438,0.0232387316891,0.17210334143,3.54202318798,8.29940644558
3,8587,8.609023,4.34155079667,5.46020629507,216.845826859,216.845826859,1538,453,-5.85362807599,4.69355510516,3.62296434694,0.166498211161,0.000398766467634,0.000398766467634,0.4644921875,0.83810546875,3.72210274791,1031,1058,942,1113,1534,1422,1566,1759,1.37965331692,0.359755562823,22.952723084,0.522637688587,0.462696704815,5724.59402628,1686.1125448,-0.397078383795,0.0193458715232,0.00723623840673,0.008943299745,0.740593216675,2.3439285605,-2.38724087052,0.0225079652924,0.166499166212,3.42657239573,8.33188405083
4,8588,8.610024,4.36225953747,5.48973542547,216.871137542,216.871137542,1614,752,-5.73964478134,4.74575306252,3.37262720448,0.165237622217,0.000395747332492,0.000395747332492,0.45439453125,0.81791015625,3.7,1031,1058,942,1113,1534,1422,1566,1759,1.43392716755,0.593271098281,22.9547523094,0.5464425152,0.485239638155,5971.8,2782.4,-0.393705756591,0.0164857738724,0.0104282475138,0.012178011251,0.586398491247,2.13200307251,-2.4611116138,0.0229963702443,0.165238570037,3.30852998585,8.17559224807
5,8589,8.611025,4.37990031667,5.51811407027,216.896448226,216.896448226,1816,827,-5.3806506664,4.06185329459,3.13826902855,0.168320468684,0.000403130809993,0.000403130809993,0.33322265625,0.767421875,3.68673835125,1031,1058,942,1113,1534,1422,1566,1759,1.66105730813,0.658498995495,22.9570741853,0.635274484197,0.553021794836,6695.11684588,3048.93261649,-0.390567487562,0.013631701632,0.0135780728479,0.0152517068735,0.42417502314,1.90250175666,-2.52856109292,0.0245520246457,0.168321434188,3.1926569789,7.4363153696
6,8590,8.612029,4.39715760067,5.54649271507,216.921758909,216.921758909,1843,826,-5.02059128702,3.8935415137,3.32042924711,0.175719584954,0.000420851837973,0.000420851837973,0.31302734375,0.686640625,3.64695340502,1031,1058,942,1113,1534,1422,1566,1759,1.65782095919,0.659741759181,22.9594010182,0.640953500872,0.569125651007,6721.33512545,3012.38351254,-0.387247058315,0.0107877142677,0.0166898653896,0.0181561007635,0.253634878252,1.65597784633,-2.59033564852,0.0269178450248,0.1757205929,3.08487148047,7.16876926503
7,8591,8.613027,4.41633236067,5.57678883587,216.947069592,216.947069592,1720,700,-4.55826652178,3.84134355633,3.21922912569,0.187413123463,0.00044885809109,0.00044885809109,0.323125,0.59576171875,3.63369175627,1057,1120,952,1136,1336,1217,1437,1574,1.53075255275,0.571676057457,22.961499242,0.593985743468,0.54506894583,6249.94982079,2543.58422939,-0.384027829189,0.00795745730944,0.0197682743506,0.0208847534473,0.074545118139,1.39309005518,-2.64714395043,0.0298375388426,0.187414198484,2.99226134734,6.77474354976
8,8592,8.614028,4.43090517827,5.60363349987,216.972380275,216.972380275,2023,924,-4.15027024278,3.76677504581,3.14146482186,0.203369191734,0.000487073186243,0.000487073186243,0.3433203125,0.61595703125,3.66021505376,1057,1120,952,1136,1336,1217,1437,1574,1.81702242638,0.761703840731,22.964080547,0.699959314839,0.642425197618,7404.61505376,3382.03870968,-0.380886364368,0.00514455232263,0.0228199652234,0.0234337441955,-0.113322617091,1.11464111147,-2.6996639962,0.0331112911017,0.203370358281,2.92291849276,6.42511778575
9,8593,8.615029,4.44586149107,5.62856068787,216.997690958,216.997690958,2000,1049,-3.70925076626,3.488741028,3.19792383697,0.223515122778,0.000535323084568,0.000535323084568,0.27263671875,0.55537109375,3.62485065711,1057,1120,952,1136,1336,1217,1437,1574,1.797951423,0.863488315121,22.9667446482,0.699369917893,0.640383254074,7249.70131422,3802.46833931,-0.377688440531,0.00235309516803,0.025855717311,0.0258026211664,-0.310260924739,0.821633053046,-2.74855299392,0.0366036942616,0.223516404884,2.88546118942,6.01303351683
